Date	Precipitation	TempMin	TempMean	TempMax	Radiation	SunshineDuration	SoilMoisture	SoilTemperature	Windspeed	RefETcalc	RefETdwd	RelHumCalc	Gridcell
1951-01-01	0.0	-3.1	2.8	4.4	2149	0.6	-999.0	-999.0	2.7	0.8	-999.0	73	C_58:R_466
1951-01-02	0.0	-0.4	1.2	2.7	1896	0.0	-999.0	-999.0	2.5	0.5	-999.0	86	C_58:R_466
1951-01-03	0.0	-3.1	0.9	2.0	1911	0.0	-999.0	-999.0	1.8	0.5	-999.0	79	C_58:R_466
1951-01-04	0.9	-1.0	1.5	3.4	2831	2.0	-999.0	-999.0	2.6	0.5	-999.0	82	C_58:R_466
1951-01-05	0.2	1.3	8.2	9.9	1944	0.0	-999.0	-999.0	3.1	1.2	-999.0	71	C_58:R_466
1951-01-06	0.0	4.7	6.9	10.0	2328	0.8	-999.0	-999.0	2.3	0.7	-999.0	80	C_58:R_466
1951-01-07	0.0	6.0	7.1	9.7	2995	2.2	-999.0	-999.0	5.3	0.9	-999.0	85	C_58:R_466
1951-01-08	1.1	5.6	6.8	9.1	2002	0.0	-999.0	-999.0	3.4	0.7	-999.0	85	C_58:R_466
1951-01-09	0.1	2.8	4.0	6.8	3845	3.9	-999.0	-999.0	3.7	0.7	-999.0	83	C_58:R_466
1951-01-10	0.2	-0.6	4.2	5.6	4493	5.2	-999.0	-999.0	2.2	0.5	-999.0	76	C_58:R_466
1951-01-11	0.0	4.0	9.0	10.0	2071	0.0	-999.0	-999.0	4.1	1.1	-999.0	78	C_58:R_466
1951-01-12	0.0	2.0	4.2	8.5	2431	0.7	-999.0	-999.0	3.0	0.9	-999.0	76	C_58:R_466
1951-01-13	0.0	1.0	4.6	7.3	3809	3.5	-999.0	-999.0	2.6	0.7	-999.0	76	C_58:R_466
1951-01-14	0.9	1.4	5.9	8.0	2636	1.0	-999.0	-999.0	3.5	1.0	-999.0	76	C_58:R_466
1951-01-15	7.4	2.9	3.8	7.1	2178	0.0	-999.0	-999.0	3.7	0.8	-999.0	83	C_58:R_466
1951-01-16	2.9	1.8	5.8	6.7	2802	1.2	-999.0	-999.0	3.6	0.8	-999.0	81	C_58:R_466
1951-01-17	11.0	1.2	7.1	9.0	2289	0.1	-999.0	-999.0	3.8	1.2	-999.0	73	C_58:R_466
1951-01-18	3.8	5.9	6.6	9.0	3027	1.5	-999.0	-999.0	5.4	0.8	-999.0	86	C_58:R_466
1951-01-19	5.3	3.8	4.9	6.2	2304	0.0	-999.0	-999.0	5.4	0.6	-999.0	88	C_58:R_466
1951-01-20	15.2	3.9	5.2	8.0	2339	0.0	-999.0	-999.0	4.5	0.9	-999.0	83	C_58:R_466
1951-01-21	5.5	3.3	3.5	4.6	2374	0.0	-999.0	-999.0	2.5	0.4	-999.0	92	C_58:R_466
1951-01-22	2.9	3.4	6.2	8.0	2411	0.0	-999.0	-999.0	1.5	0.6	-999.0	82	C_58:R_466
1951-01-23	1.3	4.9	5.2	6.4	2449	0.0	-999.0	-999.0	0.9	0.3	-999.0	91	C_58:R_466
1951-01-24	0.2	-0.5	3.4	6.5	5219	5.1	-999.0	-999.0	2.2	0.7	-999.0	74	C_58:R_466
1951-01-25	0.0	1.0	2.0	3.9	2528	0.0	-999.0	-999.0	2.9	0.5	-999.0	86	C_58:R_466
1951-01-26	0.0	-0.1	3.0	5.7	2733	0.3	-999.0	-999.0	1.7	0.6	-999.0	78	C_58:R_466
1951-01-27	0.0	0.4	3.3	4.8	3109	0.9	-999.0	-999.0	1.6	0.5	-999.0	82	C_58:R_466
1951-01-28	0.0	0.4	2.2	3.6	2655	0.0	-999.0	-999.0	1.7	0.5	-999.0	85	C_58:R_466
1951-01-29	0.0	1.3	1.4	1.9	2700	0.0	-999.0	-999.0	1.5	0.3	-999.0	94	C_58:R_466
1951-01-30	0.0	0.4	1.2	1.5	2745	0.0	-999.0	-999.0	1.4	0.3	-999.0	92	C_58:R_466
1951-01-31	0.0	1.3	2.1	3.2	2792	0.0	-999.0	-999.0	1.3	0.4	-999.0	90	C_58:R_466
1951-02-01	0.0	2.1	2.8	3.6	2840	0.0	-999.0	-999.0	0.7	0.3	-999.0	91	C_58:R_466
1951-02-02	0.0	2.0	4.0	5.6	2889	0.0	-999.0	-999.0	1.4	0.5	-999.0	84	C_58:R_466
1951-02-03	1.3	1.9	3.1	5.4	3178	0.4	-999.0	-999.0	2.3	0.6	-999.0	85	C_58:R_466
1951-02-04	0.0	1.6	6.0	7.4	5348	3.9	-999.0	-999.0	3.4	0.9	-999.0	78	C_58:R_466
1951-02-05	0.0	3.6	4.8	8.1	3043	0.0	-999.0	-999.0	2.6	0.8	-999.0	82	C_58:R_466
1951-02-06	0.0	2.4	4.5	6.8	4271	1.9	-999.0	-999.0	1.9	0.7	-999.0	82	C_58:R_466
1951-02-07	0.0	-0.3	2.2	6.5	5402	3.6	-999.0	-999.0	1.7	0.7	-999.0	75	C_58:R_466
1951-02-08	0.3	0.3	7.1	8.9	3206	0.0	-999.0	-999.0	3.0	1.2	-999.0	70	C_58:R_466
1951-02-09	4.2	6.1	8.2	12.4	3262	0.0	-999.0	-999.0	2.6	1.1	-999.0	77	C_58:R_466
1951-02-10	3.3	1.7	3.2	6.3	3320	0.0	-999.0	-999.0	1.8	0.7	-999.0	81	C_58:R_466
1951-02-11	0.2	0.4	4.2	6.0	3378	0.0	-999.0	-999.0	2.5	0.8	-999.0	78	C_58:R_466
1951-02-12	0.0	-0.1	5.5	10.9	8336	7.4	-999.0	-999.0	1.3	0.9	-999.0	65	C_58:R_466
1951-02-13	0.0	2.3	4.7	6.6	3766	0.4	-999.0	-999.0	1.9	0.7	-999.0	82	C_58:R_466
1951-02-14	0.0	2.0	4.5	6.9	3560	0.0	-999.0	-999.0	2.3	0.8	-999.0	81	C_58:R_466
1951-02-15	0.0	0.3	2.0	4.9	3622	0.0	-999.0	-999.0	1.2	0.6	-999.0	81	C_58:R_466
1951-02-16	0.0	-1.2	4.1	8.8	8254	6.6	-999.0	-999.0	1.2	0.9	-999.0	67	C_58:R_466
1951-02-17	2.0	3.9	5.7	9.4	3749	0.0	-999.0	-999.0	3.6	1.1	-999.0	79	C_58:R_466
1951-02-18	0.0	2.1	5.0	8.3	7636	5.4	-999.0	-999.0	4.7	1.3	-999.0	77	C_58:R_466
1951-02-19	4.3	2.4	3.9	7.0	4238	0.5	-999.0	-999.0	3.8	1.0	-999.0	81	C_58:R_466
1951-02-20	2.1	3.9	6.9	8.9	6696	3.8	-999.0	-999.0	3.9	1.1	-999.0	81	C_58:R_466
1951-02-21	0.2	2.8	4.3	7.9	5550	2.1	-999.0	-999.0	4.5	1.1	-999.0	80	C_58:R_466
1951-02-22	1.2	1.9	4.5	8.9	8518	6.0	-999.0	-999.0	3.7	1.3	-999.0	75	C_58:R_466
1951-02-23	0.4	1.6	4.5	7.4	4974	1.1	-999.0	-999.0	4.1	1.1	-999.0	78	C_58:R_466
1951-02-24	0.0	0.1	2.7	9.3	7770	4.7	-999.0	-999.0	1.9	1.1	-999.0	69	C_58:R_466
1951-02-25	0.5	0.3	4.2	8.8	8489	5.5	-999.0	-999.0	1.1	1.0	-999.0	71	C_58:R_466
1951-02-26	1.8	0.3	1.9	6.0	5366	1.3	-999.0	-999.0	1.4	0.8	-999.0	78	C_58:R_466
1951-02-27	0.6	-2.4	1.7	5.9	6539	2.7	-999.0	-999.0	1.4	0.9	-999.0	71	C_58:R_466
1951-02-28	0.0	-0.2	0.7	2.4	5059	0.7	-999.0	-999.0	1.7	0.6	-999.0	87	C_58:R_466
1951-03-01	4.3	-2.7	1.1	4.4	4582	0.0	-999.0	-999.0	1.7	0.8	-999.0	74	C_58:R_466
1951-03-02	0.1	0.0	1.7	3.8	5619	1.2	-999.0	-999.0	1.8	0.7	-999.0	83	C_58:R_466
1951-03-03	0.0	-2.0	-0.5	1.9	6839	2.6	-999.0	-999.0	2.8	0.7	-999.0	83	C_58:R_466
1951-03-04	0.0	-5.2	0.5	5.3	12340	9.2	-999.0	-999.0	2.0	1.2	-999.0	65	C_58:R_466
1951-03-05	0.0	-4.9	0.1	5.9	9016	5.0	-999.0	-999.0	1.1	1.0	-999.0	64	C_58:R_466
1951-03-06	0.0	-3.5	1.5	8.7	11803	8.2	-999.0	-999.0	1.0	1.2	-999.0	61	C_58:R_466
1951-03-07	0.0	-1.9	4.4	9.6	13714	10.3	-999.0	-999.0	2.6	1.7	-999.0	63	C_58:R_466
1951-03-08	0.0	0.9	1.9	3.4	5112	0.0	-999.0	-999.0	3.8	0.7	-999.0	88	C_58:R_466
1951-03-09	0.0	-0.1	0.9	2.3	5189	0.0	-999.0	-999.0	3.1	0.7	-999.0	88	C_58:R_466
1951-03-10	0.0	0.1	3.5	7.4	5267	0.0	-999.0	-999.0	2.0	1.1	-999.0	74	C_58:R_466
1951-03-11	1.0	3.1	4.6	7.3	5346	0.0	-999.0	-999.0	3.0	1.0	-999.0	83	C_58:R_466
1951-03-12	0.0	3.9	7.3	11.2	9746	4.9	-999.0	-999.0	3.6	1.6	-999.0	74	C_58:R_466
1951-03-13	2.5	2.4	9.8	15.4	11375	6.6	-999.0	-999.0	3.1	2.3	-999.0	61	C_58:R_466
1951-03-14	0.2	5.0	7.3	10.9	7109	1.7	-999.0	-999.0	4.8	1.6	-999.0	78	C_58:R_466
1951-03-15	0.0	4.9	7.1	10.3	7292	1.8	-999.0	-999.0	4.8	1.5	-999.0	80	C_58:R_466
1951-03-16	11.1	0.1	9.1	15.3	13043	8.0	-999.0	-999.0	1.8	2.1	-999.0	56	C_58:R_466
1951-03-17	5.1	8.9	13.3	16.9	5823	0.0	-999.0	-999.0	3.7	2.0	-999.0	73	C_58:R_466
1951-03-18	0.2	7.1	9.2	12.2	9428	3.8	-999.0	-999.0	4.3	1.6	-999.0	81	C_58:R_466
1951-03-19	4.2	3.3	5.4	11.3	6265	0.3	-999.0	-999.0	4.5	1.7	-999.0	72	C_58:R_466
1951-03-20	1.0	-0.7	2.0	6.7	12000	6.3	-999.0	-999.0	3.2	1.5	-999.0	73	C_58:R_466
1951-03-21	0.0	-1.8	2.7	6.9	15640	10.0	-999.0	-999.0	2.8	1.7	-999.0	70	C_58:R_466
1951-03-22	4.5	0.1	6.8	9.1	6226	0.0	-999.0	-999.0	4.0	1.6	-999.0	69	C_58:R_466
1951-03-23	0.3	8.4	9.7	11.4	12379	6.3	-999.0	-999.0	5.8	1.5	-999.0	87	C_58:R_466
1951-03-24	5.2	0.9	3.0	9.8	6388	0.0	-999.0	-999.0	4.6	1.7	-999.0	70	C_58:R_466
1951-03-25	0.7	0.0	2.5	6.4	8327	1.9	-999.0	-999.0	2.4	1.2	-999.0	76	C_58:R_466
1951-03-26	4.7	0.1	3.7	5.7	6944	0.4	-999.0	-999.0	3.7	1.2	-999.0	78	C_58:R_466
1951-03-27	0.3	0.3	3.8	9.2	10597	4.0	-999.0	-999.0	4.4	1.8	-999.0	70	C_58:R_466
1951-03-28	0.3	-0.4	2.5	6.6	10505	3.8	-999.0	-999.0	3.4	1.5	-999.0	74	C_58:R_466
1951-03-29	1.2	-1.4	1.2	6.6	11716	4.9	-999.0	-999.0	1.8	1.4	-999.0	72	C_58:R_466
1951-03-30	0.0	-1.5	4.7	9.2	8390	1.5	-999.0	-999.0	1.6	1.4	-999.0	65	C_58:R_466
1951-03-31	0.0	1.5	2.8	5.3	7156	0.2	-999.0	-999.0	1.8	1.0	-999.0	84	C_58:R_466
1951-04-01	8.9	1.6	6.4	12.2	7033	0.0	-999.0	-999.0	3.6	2.0	-999.0	66	C_58:R_466
1951-04-02	0.3	4.9	7.0	12.1	11235	4.0	-999.0	-999.0	3.4	1.9	-999.0	75	C_58:R_466
1951-04-03	0.7	3.7	6.6	11.1	13205	5.8	-999.0	-999.0	2.6	1.9	-999.0	74	C_58:R_466
1951-04-04	0.1	1.6	9.2	15.1	11130	3.7	-999.0	-999.0	2.8	2.4	-999.0	60	C_58:R_466
