Date	Precipitation	TempMin	TempMean	TempMax	Radiation	SunshineDuration	SoilMoisture	SoilTemperature	Windspeed	RefETcalc	RefETdwd	RelHumCalc	Gridcell
1951-01-01	1.8	-8.8	-0.7	1.1	1496	0.0	-999.0	-999.0	2.7	0.8	-999.0	65	C_187:R_226
1951-01-02	3.9	-1.7	0.1	1.4	1509	0.0	-999.0	-999.0	2.5	0.4	-999.0	85	C_187:R_226
1951-01-03	0.3	-2.8	0.9	2.6	2201	1.6	-999.0	-999.0	1.8	0.4	-999.0	78	C_187:R_226
1951-01-04	0.4	0.4	1.5	2.2	2263	1.7	-999.0	-999.0	2.6	0.3	-999.0	90	C_187:R_226
1951-01-05	7.7	1.4	5.1	6.4	1554	0.0	-999.0	-999.0	3.1	0.8	-999.0	80	C_187:R_226
1951-01-06	4.9	2.8	4.1	6.9	1571	0.0	-999.0	-999.0	2.3	0.6	-999.0	83	C_187:R_226
1951-01-07	3.1	4.3	5.5	7.3	1720	0.3	-999.0	-999.0	5.3	0.8	-999.0	86	C_187:R_226
1951-01-08	6.1	2.5	4.9	6.4	1608	0.0	-999.0	-999.0	3.4	0.7	-999.0	84	C_187:R_226
1951-01-09	9.6	0.8	4.0	5.4	1628	0.0	-999.0	-999.0	3.7	0.8	-999.0	81	C_187:R_226
1951-01-10	7.0	-2.5	1.3	3.7	1739	0.2	-999.0	-999.0	2.2	0.7	-999.0	76	C_187:R_226
1951-01-11	7.4	3.1	6.7	7.1	1672	0.0	-999.0	-999.0	4.1	0.8	-999.0	83	C_187:R_226
1951-01-12	0.4	0.9	3.8	7.2	3108	3.1	-999.0	-999.0	3.0	0.7	-999.0	76	C_187:R_226
1951-01-13	2.8	0.2	3.7	5.4	2594	1.9	-999.0	-999.0	2.6	0.6	-999.0	79	C_187:R_226
1951-01-14	5.3	1.0	2.9	5.8	1746	0.0	-999.0	-999.0	3.5	0.8	-999.0	81	C_187:R_226
1951-01-15	0.7	1.3	4.1	5.1	2336	1.2	-999.0	-999.0	3.7	0.6	-999.0	84	C_187:R_226
1951-01-16	0.8	2.0	3.5	5.9	2702	1.9	-999.0	-999.0	3.6	0.7	-999.0	83	C_187:R_226
1951-01-17	19.5	1.6	5.7	7.9	1830	0.0	-999.0	-999.0	3.8	1.0	-999.0	77	C_187:R_226
1951-01-18	5.9	4.1	5.6	7.5	1860	0.0	-999.0	-999.0	5.4	0.8	-999.0	85	C_187:R_226
1951-01-19	1.4	4.0	5.1	5.8	2136	0.5	-999.0	-999.0	5.4	0.5	-999.0	90	C_187:R_226
1951-01-20	0.0	1.9	3.0	5.9	3311	2.8	-999.0	-999.0	4.5	0.7	-999.0	83	C_187:R_226
1951-01-21	0.7	-1.9	-0.2	2.9	4262	4.6	-999.0	-999.0	2.5	0.5	-999.0	80	C_187:R_226
1951-01-22	0.2	-2.4	3.1	5.0	1992	0.0	-999.0	-999.0	1.5	0.7	-999.0	73	C_187:R_226
1951-01-23	0.0	1.9	3.1	4.7	2028	0.0	-999.0	-999.0	0.9	0.3	-999.0	87	C_187:R_226
1951-01-24	0.0	2.0	2.5	3.7	2065	0.0	-999.0	-999.0	2.2	0.4	-999.0	90	C_187:R_226
1951-01-25	0.0	-3.0	-1.2	1.9	3206	2.1	-999.0	-999.0	2.9	0.6	-999.0	80	C_187:R_226
1951-01-26	0.0	-3.3	-2.3	-1.6	2142	0.0	-999.0	-999.0	1.7	0.3	-999.0	90	C_187:R_226
1951-01-27	0.0	-2.3	0.1	0.9	2182	0.0	-999.0	-999.0	1.6	0.4	-999.0	85	C_187:R_226
1951-01-28	0.3	-0.4	-0.1	1.2	2223	0.0	-999.0	-999.0	1.7	0.3	-999.0	90	C_187:R_226
1951-01-29	0.0	-0.9	-0.1	0.5	2266	0.0	-999.0	-999.0	1.5	0.3	-999.0	91	C_187:R_226
1951-01-30	0.0	-1.2	-0.1	2.5	3035	1.3	-999.0	-999.0	1.4	0.4	-999.0	84	C_187:R_226
1951-01-31	0.0	-4.6	-1.8	-0.3	2354	0.0	-999.0	-999.0	1.3	0.4	-999.0	81	C_187:R_226
1951-02-01	0.0	-2.1	0.1	1.2	2399	0.0	-999.0	-999.0	0.7	0.3	-999.0	85	C_187:R_226
1951-02-02	0.0	-1.4	0.0	0.9	2446	0.0	-999.0	-999.0	1.4	0.4	-999.0	88	C_187:R_226
1951-02-03	0.0	-7.7	-4.3	-0.3	2494	0.0	-999.0	-999.0	2.3	0.6	-999.0	72	C_187:R_226
1951-02-04	0.0	-4.7	0.5	3.4	3495	1.6	-999.0	-999.0	3.4	0.9	-999.0	71	C_187:R_226
1951-02-05	1.7	0.4	1.9	4.1	2894	0.5	-999.0	-999.0	2.6	0.6	-999.0	84	C_187:R_226
1951-02-06	0.8	-0.1	3.0	6.4	3316	1.1	-999.0	-999.0	1.9	0.7	-999.0	76	C_187:R_226
1951-02-07	0.1	-1.6	2.7	7.0	6530	6.2	-999.0	-999.0	1.7	0.7	-999.0	70	C_187:R_226
1951-02-08	0.3	-0.1	4.2	5.6	3125	0.6	-999.0	-999.0	3.0	0.8	-999.0	78	C_187:R_226
1951-02-09	0.4	5.5	8.3	12.4	3565	1.2	-999.0	-999.0	2.6	1.1	-999.0	76	C_187:R_226
1951-02-10	20.5	1.2	2.6	6.5	2859	0.0	-999.0	-999.0	1.8	0.7	-999.0	79	C_187:R_226
1951-02-11	0.0	1.2	2.6	3.2	2915	0.0	-999.0	-999.0	2.5	0.5	-999.0	89	C_187:R_226
