Date	Precipitation	TempMin	TempMean	TempMax	Radiation	SunshineDuration	SoilMoisture	SoilTemperature	Windspeed	RefETcalc	RefETdwd	RelHumCalc	Gridcell
1951-01-01	2.2	-6.8	1.6	3.1	1506	0.0	-999.0	-999.0	2.7	0.9	-999.0	66	C_110:R_281
1951-01-02	2.2	0.1	1.7	3.1	1519	0.0	-999.0	-999.0	2.5	0.5	-999.0	86	C_110:R_281
1951-01-03	0.4	0.5	1.2	2.7	1979	1.0	-999.0	-999.0	1.8	0.4	-999.0	89	C_110:R_281
1951-01-04	1.5	0.2	2.0	2.9	1546	0.0	-999.0	-999.0	2.6	0.5	-999.0	87	C_110:R_281
1951-01-05	8.8	2.5	5.8	7.1	1562	0.0	-999.0	-999.0	3.1	0.8	-999.0	81	C_110:R_281
1951-01-06	2.3	4.7	6.5	7.1	1578	0.0	-999.0	-999.0	2.3	0.5	-999.0	88	C_110:R_281
1951-01-07	0.5	5.3	6.7	8.7	1596	0.0	-999.0	-999.0	5.3	0.9	-999.0	85	C_110:R_281
1951-01-08	5.2	4.3	5.8	6.4	1614	0.0	-999.0	-999.0	3.4	0.5	-999.0	89	C_110:R_281
1951-01-09	5.1	2.2	3.6	6.3	1914	0.6	-999.0	-999.0	3.7	0.8	-999.0	83	C_110:R_281
1951-01-10	5.7	-0.9	3.5	5.7	2408	1.6	-999.0	-999.0	2.2	0.7	-999.0	75	C_110:R_281
1951-01-11	11.2	4.6	6.9	7.6	1676	0.0	-999.0	-999.0	4.1	0.7	-999.0	86	C_110:R_281
1951-01-12	0.8	2.7	3.6	7.4	2610	1.9	-999.0	-999.0	3.0	0.7	-999.0	81	C_110:R_281
1951-01-13	5.8	1.6	3.7	5.7	2545	1.7	-999.0	-999.0	2.6	0.6	-999.0	83	C_110:R_281
1951-01-14	7.2	1.6	4.1	6.4	1797	0.1	-999.0	-999.0	3.5	0.8	-999.0	81	C_110:R_281
1951-01-15	4.7	3.1	4.2	5.2	2661	1.8	-999.0	-999.0	3.7	0.5	-999.0	89	C_110:R_281
1951-01-16	2.0	1.6	3.3	5.6	1950	0.3	-999.0	-999.0	3.6	0.7	-999.0	83	C_110:R_281
1951-01-17	19.5	1.6	6.3	8.2	1829	0.0	-999.0	-999.0	3.8	1.1	-999.0	76	C_110:R_281
1951-01-18	9.6	4.7	5.5	7.7	1858	0.0	-999.0	-999.0	5.4	0.8	-999.0	86	C_110:R_281
1951-01-19	0.8	3.7	5.5	6.6	1888	0.0	-999.0	-999.0	5.4	0.8	-999.0	87	C_110:R_281
1951-01-20	0.0	2.8	4.1	6.0	1919	0.0	-999.0	-999.0	4.5	0.7	-999.0	86	C_110:R_281
1951-01-21	0.2	0.4	2.1	4.2	2057	0.2	-999.0	-999.0	2.5	0.5	-999.0	84	C_110:R_281
1951-01-22	0.8	1.1	5.6	7.1	1985	0.0	-999.0	-999.0	1.5	0.7	-999.0	77	C_110:R_281
1951-01-23	0.0	3.4	4.2	6.0	2020	0.0	-999.0	-999.0	0.9	0.3	-999.0	88	C_110:R_281
1951-01-24	0.0	1.3	3.2	3.9	2055	0.0	-999.0	-999.0	2.2	0.4	-999.0	87	C_110:R_281
1951-01-25	0.0	-1.1	-0.2	3.6	2092	0.0	-999.0	-999.0	2.9	0.6	-999.0	81	C_110:R_281
1951-01-26	0.0	-0.9	0.4	1.6	2129	0.0	-999.0	-999.0	1.7	0.4	-999.0	87	C_110:R_281
1951-01-27	0.0	0.0	2.2	5.6	3126	1.7	-999.0	-999.0	1.6	0.5	-999.0	78	C_110:R_281
1951-01-28	1.6	-0.3	0.5	1.2	2208	0.0	-999.0	-999.0	1.7	0.3	-999.0	91	C_110:R_281
1951-01-29	0.0	-0.2	-0.1	0.5	2249	0.0	-999.0	-999.0	1.5	0.3	-999.0	93	C_110:R_281
1951-01-30	0.0	-0.6	0.2	1.9	2291	0.0	-999.0	-999.0	1.4	0.4	-999.0	87	C_110:R_281
1951-01-31	0.0	-1.5	-0.6	-0.1	2334	0.0	-999.0	-999.0	1.3	0.3	-999.0	91	C_110:R_281
1951-02-01	0.0	-0.4	1.1	2.2	2378	0.0	-999.0	-999.0	0.7	0.3	-999.0	87	C_110:R_281
